R,G,B,L
746.07,577.13,607.63,0
746.67,577.77,608.23,0
745.9,576.97,607.87,0
746.03,576.8,609.53,0
745.63,575.87,610.17,0
745.33,576.13,609.33,0
828.7,592.3,632.6,0
838.4,601.7,642.6,0
832.53,599.4,640.03,0
823.9,594.87,634.87,0
825.13,595.67,635.97,0
824.03,595.33,635.7,0
827.7,598.73,639.23,0
741.03,532.67,565.83,0
753.9,540.03,573.73,0
754.47,540.8,574.37,0
756.07,541.77,575.53,0
759.5,543.97,578,0
758,543.83,577.67,0
755.2,542.47,576.37,0
772.83,595.53,620.5,0
770.97,594.47,619.77,0
777.87,600.17,625.07,0
779.8,601.87,626.7,0
778.2,599.83,624.77,0
783.23,602.57,627.63,0
791,608.3,633.47,0
799.77,614.3,639.3,0
701.93,574.9,584.2,0
710.77,580.53,589.27,0
724.93,590.17,597.67,0
730.33,593.77,600.83,0
731.37,594.43,601.3,0
727.13,592.33,599.47,0
729.1,593.53,600.53,0
729.37,593.67,600.57,0
728.63,593.27,600.3,0
536.37,471.6,496.5,0
535.47,471.13,496.3,0
537.87,472.73,497.87,0
541.93,475.63,500.63,0
551.67,482,506.63,0
551.5,481.77,506.53,0
1067.33,775.30,780.40,0
1089.20,784.93,792.03,0
1094.13,790.67,798.07,0
1082.23,787.73,794.03,0
1073.13,785.70,791.27,0
1073.57,786.73,792.57,0
1070.00,786.23,791.90,0
1051.07,781.73,786.40,0
973.13,757.37,757.43,0
975.80,758.70,759.47,0
985.97,762.77,764.20,0
1036.07,779.33,786.20,0
1015.37,771.97,778.80,0
981.40,760.20,764.60,0
1026.87,775.37,783.43,0
888.27,713.87,715.33,0
880.33,710.93,711.83,0
814.37,681.67,678.70,0
792.53,672.50,668.33,0
796.33,674.17,670.40,0
804.97,677.90,674.53,0
806.53,671.60,674.43,0
826.33,676.90,684.77,0
861.83,690.47,702.30,0
858.10,688.37,700.33,0
814.07,664.77,678.63,0
821.90,668.10,682.80,0
807.23,662.03,676.03,0
770.10,647.90,659.77,0
756.07,641.60,652.67,0
733.37,631.30,642.03,0
717.57,619.93,633.90,0
692.70,606.73,621.40,0
664.17,592.03,606.70,0
649.33,582.07,597.50,0
630.13,570.70,586.20,0
622.63,563.57,580.33,0
655.10,570.70,594.33,0
652.73,568.70,592.50,0
651.90,567.87,591.70,0
648.53,565.80,588.10,0
637.73,561.40,580.90,0
637.10,559.60,577.93,0
648.20,566.03,584.23,0
650.27,567.53,585.73,0
671.57,583.90,602.50,0
711.07,625.00,639.87,0
709.47,626.80,638.43,0
700.13,621.93,633.13,0
685.63,589.73,609.20,0
670.23,589.87,608.50,0
629.70,582.50,594.80,0
636.93,584.90,597.87,0
635.90,587.13,598.73,0
613.97,575.60,585.50,0
602.83,568.40,577.77,0
641.93,588.97,599.07,0
797.77,677.27,688.93,0
780.27,668.13,679.93,0
806.13,689.33,697.33,0
785.83,675.03,684.87,0
790.73,674.67,689.53,0
771.33,665.07,681.50,0
702.40,624.93,646.80,0
633.33,583.87,607.93,0
